Partner:,Fernando Laguna Partners (Partner Management Dashboard),,,,Last Update:,3 - Sep 2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,,,,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GHyqCQAT/view"", ""SERVINFORMACION EL SALVADOR, SOCIEDAD ANONIMA DE CAPITAL VARIABLE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hlaVZQAY/view"", ""Compania Azucarera Salvadorena SA de CV"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006Me1aOAC/view"", ""Grupo CASSA - Cortex"")",Daniel Cornejo,4.1: Pre Ramp / Mobilize,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000MvW9hIAF/view"", ""Grupo CASSA - SAP Hana / Cortex"")","Se esta haciendo la migracion, sin problema , se hara seguimiento para ver como siguen avanzando","ER-435473, ER-434244, ER-444263, ER-434243",Corporate,MCO CORP CCA,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-09-18,2026-10-23,"$60,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002QUMZQQA5/view"", ""beecrowd"")",3,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082HpjOAE/view"", ""Beecrowd - Migração"")",Suzan Soares,4.3: Migrated/Implemented,🟢 Ready (19 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000ML6BaIAL/view"", ""Beecrowd - DN - GCP - Migration"")",,,Brazil,Brazil DN,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2025-10-18,2025-11-17,"$93,475.54",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hvGzsQAE/view"", ""MAGNITRACKING SA DE CV"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082HP2OAM/view"", ""#Magnitracking #DA #2026"")",Claudia Obregón,3:  Proposal / Negotiation,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JNAptIAH/view"", ""Magnitracking - GCP Infra - GCP"")",,,Mexico,MX DN,Analytics,The Agentic Data Cloud,Data Sharing & Monetization,2026-08-28,2026-09-15,"$100,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002NSRhUQAX/view"", ""SITINFORMACION"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001ipp7JQAQ/view"", ""Godo Parsa Sapi de Cv"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082H5WOAU/view"", ""99Min - AgentSpace"")",Luis Cabrera,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LyrbeIAB/view"", ""99minutos - Vertex AI Search - #Agentspace [B]"")",,,Mexico,MX DN,Build with AI,,,2025-09-30,2025-10-31,"$181,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hXE7yQAG/view"", ""CAMARA DE COMERCIO DE BOGOTA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tFgAOAU/view"", ""CCB SICO y SIMASC"")",Andrea Forero,3:  Proposal / Negotiation,🟢 Ready (19 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000M64WwIAJ/view"", ""CCB_ SICO y SIMASC"")","Propuesta econmomica preliminar enviada, ajustando detalles de arquitectura con partner y cliente para planear deployment","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000tZCbKAM/view"", ""ER-416060"")",Corporate,MCO CORP NORTE,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2026-09-01,2026-09-28,"$60,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001w6OZ3QAM/view"", ""Servinformacion SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hlcrVQAQ/view"", ""La Fabril, S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006McBTOA0/view"", ""La Fabril - Bases de datos"")",Alexandra Rodríguez,4.3: Migrated/Implemented,🟢 Ready (4 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LicQzIAJ/view"", ""La Fabril S.A#GCP#Base de Datos#GOLD"")","Hubo errores de pase a produccion, es por eso se retraso una semana despues el pase a produccion, el equipo de producto estuvo ayudando","ER-434165, ER-414561",Corporate,MCO CORP NORTE,Migrate and Modernize Databases,"Migrate, Modernize, and Build with Data Cloud (Databases)","Modernize Legacy Databases (Heterogeneous - SQL Server, Oracle etc.)",2025-11-05,2026-03-15,"$127,968.79",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001w6OZ3QAM/view"", ""Servinformacion SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hlcrVQAQ/view"", ""La Fabril, S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006Mc9DOAS/view"", ""La fabril - Agentspace -"")",Oscar Rodriguez,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LicMIIAZ/view"", ""La Fabril S.A#GCP#Agentspace"")",Servi comenta que esta semana estaran juntandose para poder empezar a hacer las configuraciones,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000kREDKA2/view"", ""ER-412469"")",Corporate,MCO CORP NORTE,Developer AI Assistance,Developer AI Assistance,Developer AI Assistance,2025-11-04,2026-01-30,"$12,240.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000019zqaGIAQ/view"", ""REVINCULAMOS S A S"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MbsHOAS/view"", ""Revinculamos - SCCE"")",Oscar Rodriguez,4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KhkptIAB/view"", ""Revinculamos: SCC"")",,,Corporate,MCO CORP NORTE,Security,Security,Security Workload,2025-09-30,2025-10-17,"$68,160.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000019zqaGIAQ/view"", ""REVINCULAMOS S A S"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MbsWOAS/view"", ""Revinculamos - Chrome Enterprise Premium"")",Oscar Rodriguez,4.3: Migrated/Implemented,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KhkqXIAR/view"", ""Revinculamos: Chrome Enterprice 1100"")",,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000kQdWKAU/view"", ""ER-410136"")",Corporate,MCO CORP NORTE,Security,Security,Security Workload,2025-09-22,2025-10-28,"$32,640.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000019zqaGIAQ/view"", ""REVINCULAMOS S A S"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MbjPOAS/view"", ""[GECX] Revinculamos Agents"")",Santiago Guerrero,4.2: Ramping / Deliver,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KhjN0IAJ/view"", ""Revinculamos: Flex"")","SoW aprobado,transicionar a despliegue","ER-430016, ER-430014, ER-430015, ER-411660",Corporate,MCO CORP NORTE,Customer Engagement,Applied AI Portfolio non CES,Applied AI: AAA,2026-02-02,2026-12-01,"$120,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002NSRhUQAX/view"", ""SITINFORMACION"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001heOXJQA2/view"", ""Godo Parsa Sapi de Cv"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082FyPOAU/view"", ""99Min - Looker"")",Luis Cabrera,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LjAxhIAF/view"", ""99 minutos - Looker - commit"")",,,Mexico,MX DN,Migrate Modernize and Build,,,2025-09-30,2025-10-31,"$36,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001w6OZ3QAM/view"", ""Servinformacion SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001yeft8QAA/view"", ""Industrial Pesquera Santa Priscila S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006Maf2OAC/view"", ""Santa Priscila - Renewal Agentspace"")",Oscar Rodriguez,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000L4L6pIAF/view"", ""Industrial Pesquera Santa Priscila S.A.-Renewal-Vertex AI Spark Linear-2025"")",,,Corporate,MCO CORP NORTE,Customer Engagement,Gemini Enterprise for Customer Experience (Customer Engagement),Customer Experience Agent Studio,2025-07-08,2025-07-22,$225.00,,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002TEROiQAP/view"", ""Servinformación S.A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001tRnfyQAC/view"", ""Disagro Guatemala"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082EyTOAU/view"", ""Disagro - BQ"")",Daniel Cornejo,4.3: Migrated/Implemented,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LIR8OIAX/view"", ""Disagro Guatemala - Upsell Bigquery"")",,,Corporate,MCO CORP CCA,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2025-11-10,2026-05-31,"$18,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hXAaKQAW/view"", ""Grupo Inpress"")",3,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082EtnOAE/view"", ""Grupoinpress. #AWSmigration"")",Suzan Soares,4.3: Migrated/Implemented,🟢 Ready (19 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000M34kcIAB/view"", ""Grupo Inpress - GCP (AWS)"")",,,Brazil,Brazil DN,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2025-07-28,2026-02-04,"$60,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001w6OZ3QAM/view"", ""Servinformacion SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hf8yJQAQ/view"", ""FARMAENLACE CIA. LTDA."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZldOAG/view"", ""Farmaenlace - Agentspace"")",Oscar Rodriguez,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LIJIpIAP/view"", ""#M25 - FARMAENLACE CIA. LTDA. - AGENT SPACE 20 Cuentas prueba"")",Partner confirmo licencias activas. Semana del 14 al 18 sync con PE para configuraion de los conectores.,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000kN3fKAE/view"", ""ER-394139"")",Corporate,MCO CORP NORTE,Build with AI,"Your Business, Your Models",Agent and Model Platform,2025-10-05,2025-10-24,"$10,800.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001w6OZ3QAM/view"", ""Servinformacion SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hf8yJQAQ/view"", ""FARMAENLACE CIA. LTDA."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZhROAW/view"", ""Farmaenlace -Cloudera BQ"")",Jorge Armando Barrios,3:  Proposal / Negotiation,🟢 Ready (17 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LFjjeIAD/view"", ""#M25 - FARMAENLACE CIA. LTDA. - BigQuery #Analytics"")","Standby hasta finalizar el proyecto de Maps, retoman conversaciones en agosto.","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000kMZfKAM/view"", ""ER-392067"")",Corporate,MCO CORP NORTE,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)","Streaming (Dataflow, Pub/Sub, Managed Kafka)",2026-09-30,2026-10-30,"$120,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hOM0WQAW/view"", ""CONEXRED S A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZijOAG/view"", ""Puntored: Agent Space"")",Santiago Guerrero,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KhQhjIAF/view"", ""Puntored: Agent Space"")","Desacoplar sows, intervenir arquitectura y estimaciones	Partner no siguio metodologia de estimación ni calificacion",,Corporate,MCO CORP NORTE,Build with AI,,Not a Solution,2026-04-02,2026-05-11,"$25,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000014SNBZIA4/view"", ""HIL Holding Colombia"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZEPOA4/view"", ""HIL CCAI 6Users"")",Paulina Garcia,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000LHs8NIAT/view"", ""#M25 - HIL - contact center AI"")",,,Corporate,MCO CORP NORTE,Customer Engagement,Gemini Enterprise for Customer Experience (Customer Engagement),CCaaS,2025-06-26,2025-06-27,"$6,272.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hSz3eQAC/view"", ""ADSMOVIL S A S"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZ9FOAW/view"", ""AdsMOvil: Flex"")",Paulina Garcia,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KhM6hIAF/view"", ""Adsmovil: Flex"")",,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000kNBoKAM/view"", ""ER-394758"")",Corporate,MCO CORP NORTE,Build with AI,,,2025-08-15,2025-08-15,"$28,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001tRnfyQAC/view"", ""Disagro Guatemala"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082CkyOAE/view"", ""Disagro - Servi - Service Mesh"")",Daniel Cornejo,4.3: Migrated/Implemented,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000bEn96QAC/view"", ""#DISAGRO GUATEMALA #GCP #CONTEINER/KUBERNETES #WINBACK #OUT #MCO"")",,,Corporate,MCO CORP CCA,Analytics,"Migrate, Modernize, and Build with Data Cloud (Analytics)",Migrate Data Warehouses to BigQuery,2026-05-12,2026-06-25,"$12,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002NSRhUQAX/view"", ""SITINFORMACION"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001x9IzEQAU/view"", ""Energéticos Internacionales"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oTblOAE/view"", ""Red Ambiental#GCP#RGoogleMaps"")",Paul Añez,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Jed2nIAB/view"", ""Red Ambiental#GCP#RGoogleMaps#APIs #RV"")",,,Corporate,MX CORP,Migrate Modernize and Build,,,2025-05-30,2025-06-13,"$10,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hQA5iQAG/view"", ""TELEFONICA, SA"")",3,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oTSAOA2/view"", ""Telefonica BR - Fibrasil PoC"")",Yolanda Azcunaga,0-2: Tech Eval/Solution Dev,🟢 Ready (35 DRP Profiles),,,,Iberia,Iberia TMES,,,,,,"$400,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001w6OZ3QAM/view"", ""Servinformacion SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001yeft8QAA/view"", ""Industrial Pesquera Santa Priscila S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MXncOAG/view"", ""Agentspace - Santa Priscila"")",Oscar Rodriguez,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KcCFsIAN/view"", ""#M25 - Industrial Pesquera Santa Priscila S.A. - #AgentSpace"")",,,Corporate,MCO CORP NORTE,Customer Engagement,Gemini Enterprise for Customer Experience (Customer Engagement),Customer Experience Agent Studio,2025-06-10,2025-06-30,$225.00,,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000014SNBZIA4/view"", ""HIL Holding Colombia"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MXdhOAG/view"", ""HIL: Geo SaaS"")",Paulina Garcia,4.3: Migrated/Implemented,🟢 Ready (19 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Kh67HIAR/view"", ""HIL: Commit Flex #M25"")",,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000kLQNKA2/view"", ""ER-386423"")",Corporate,MCO CORP NORTE,Migrate Modernize and Build,"Migrate, Modernize and Build",GKE/CloudRun,2025-07-17,2025-08-05,"$180,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000014SNBZIA4/view"", ""HIL Holding Colombia"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MXdmOAG/view"", ""HIL: Small B2B #Q3CloseAcc"")",Paulina Garcia,4.3: Migrated/Implemented,🟢 Ready (35 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Kh67HIAR/view"", ""HIL: Commit Flex #M25"")",,,Corporate,MCO CORP NORTE,Migrate Modernize and Build,,,2025-10-17,2025-11-28,"$150,000.00",,,
"Jaquelyn Montañez, Fernando Laguna","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h3AyDQAU/view"", ""INFORMACIÓN LOCALIZADA SAS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000014SNBZIA4/view"", ""HIL Holding Colombia"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MXdiOAG/view"", ""HIL: WAF"")",Paulina Garcia,4.3: Migrated/Implemented,🟢 Ready (31 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Kh67HIAR/view"", ""HIL: Commit Flex #M25"")",,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000kMfsKAE/view"", ""ER-392487"")",Corporate,MCO CORP NORTE,Analytics,,,2025-05-23,2025-06-20,"$20,000.00",,,
